,ts_code,cluster_id
1228,2815,0
415,968,0
1470,300082,0
2506,600330,0
1333,2930,0
2392,600195,0
3014,600995,0
137,553,1
2295,600079,1
2652,600528,1
893,2459,1
2798,600699,1
556,2115,2
835,2400,2
1625,300242,2
1802,300422,3
1667,300284,3
1551,300166,3
398,948,3
1429,300040,3
1302,2895,3
1543,300158,3
3,6,3
2274,600054,3
2812,600716,3
329,837,4
74,408,4
90,429,4
499,2056,4
897,2463,4
912,2479,4
2713,600598,4
2966,600888,4
375,912,4
421,975,4
1117,2690,5
193,628,5
802,2367,5
1971,300595,5
2183,300821,5
2468,600285,5
478,2035,5
451,2007,5
719,2283,5
2887,600798,6
540,2099,6
524,2083,6
416,969,6
2604,600469,6
2521,600351,6
136,552,6
140,557,6
1858,300479,7
1932,300555,7
104,514,7
1766,300386,7
1469,300081,7
927,2494,7
2547,600381,7
2438,600249,7
117,530,7
2483,600303,7
737,2301,8
917,2484,9
383,922,9
763,2327,9
3008,600987,9
1524,300138,9
768,2332,9
1122,2695,9
2398,600201,9
2709,600594,9
2363,600161,9
1577,300193,10
1584,300200,10
59,153,10
1598,300214,10
833,2398,10
1939,300562,10
1966,300590,10
1291,2883,10
1208,2790,11
1095,2666,11
793,2357,11
1330,2927,11
2422,600229,11
1924,300547,11
1513,300127,11
432,989,11
1409,300019,12
1943,300566,12
816,2381,12
873,2438,12
333,850,13
883,2448,13
722,2286,13
732,2296,14
317,821,14
2588,600444,14
1230,2817,14
2275,600055,14
1824,300445,14
2871,600780,15
127,541,16
2297,600081,16
2327,600118,16
2272,600052,17
1190,2771,17
38,56,17
1760,300380,17
2287,600070,17
1439,300050,17
1100,2671,17
1750,300369,17
10,14,17
959,2529,17
990,2560,18
555,2114,18
2396,600199,18
1443,300054,18
2009,300634,18
2803,600706,18
1194,2775,18
918,2485,18
753,2317,19
2042,300668,19
3169,688528,19
1767,300387,19
1671,300288,19
2158,300793,19
284,777,20
2133,300766,20
1618,300235,20
1797,300417,20
1955,300579,21
2600,600463,21
1314,2908,22
1847,300468,22
1359,2967,22
2879,600790,22
2077,300703,22
2241,300883,22
2201,300840,22
1984,300608,23
1870,300491,23
1271,2862,23
476,2033,23
429,985,23
2928,600847,23
1293,2885,24
3083,688138,24
2080,300707,24
1787,300407,24
1442,300053,24
911,2478,25
1903,300525,25
84,421,25
1890,300511,25
1007,2577,26
2322,600113,26
2168,300805,26
1709,300326,26
1491,300105,26
1674,300291,26
2570,600410,26
2656,600532,26
372,909,26
665,2227,27
1148,2725,27
2389,600191,27
1635,300252,27
1123,2696,27
3131,688321,27
2664,600543,27
1900,300521,27
1202,2783,28
2727,600613,28
1229,2816,28
1169,2748,28
2218,300859,28
1199,2780,28
1266,2857,29
1575,300191,29
2323,600114,29
2091,300719,29
1631,300248,29
133,548,30
1054,2625,30
2864,600773,30
1057,2628,30
2792,600693,30
848,2413,30
1139,2715,31
620,2181,31
2728,600615,31
2428,600235,31
280,762,31
1525,300139,31
184,616,31
1056,2627,31
1846,300467,31
2913,600828,32
2752,600644,32
231,688,33
311,813,33
1061,2632,33
557,2116,33
2436,600246,33
1607,300224,33
484,2041,33
1040,2611,33
98,505,33
2833,600738,34
2989,600965,34
1428,300039,34
764,2328,34
2380,600182,34
1819,300440,34
1080,2651,34
676,2238,34
1389,3000,35
2484,600305,35
121,534,35
1687,300304,35
1115,2688,35
525,2084,36
760,2324,36
1615,300232,36
203,639,36
1557,300172,37
456,2012,37
1028,2598,37
1894,300515,37
989,2559,37
1322,2917,37
1805,300425,37
1254,2843,38
785,2349,38
1248,2836,38
1089,2660,38
2830,600735,38
520,2079,38
1936,300559,39
458,2014,39
1576,300192,39
970,2540,39
2677,600559,39
1313,2907,39
1863,300484,39
1703,300320,39
633,2194,39
274,755,40
1621,300238,40
1566,300181,40
1854,300475,40
162,590,41
708,2272,41
1878,300499,41
17,25,41
354,886,41
2001,300626,41
2621,600493,41
2162,300798,42
1001,2571,42
1203,2785,42
2433,600241,42
1134,2708,42
177,608,43
1996,300621,43
1487,300100,43
2933,600854,43
2780,600679,43
2008,300633,43
2918,600834,44
2317,600106,44
1777,300397,44
1096,2667,44
2825,600730,44
2866,600775,44
1232,2819,45
1296,2888,45
2917,600833,45
1952,300576,45
3070,688098,45
1886,300507,45
847,2412,45
1725,300342,45
2361,600159,46
1782,300402,46
2961,600883,46
1702,300319,46
1737,300354,46
410,962,46
1792,300412,47
981,2551,47
2113,300743,47
1957,300581,47
1227,2813,47
795,2360,47
1961,300585,47
1011,2581,47
925,2492,47
670,2232,48
1073,2644,48
605,2166,48
1981,300605,48
2044,300670,49
1794,300414,49
249,713,49
1791,300411,49
2028,300654,49
1153,2730,49
1597,300213,50
1212,2795,50
1499,300113,50
2678,600560,50
1540,300154,50
1809,300429,50
389,929,51
1658,300275,51
1010,2580,51
2052,300678,51
1020,2590,51
1512,300126,51
536,2095,51
1973,300597,51
1239,2826,51
662,2224,52
2012,300637,52
2931,600851,52
1893,300514,52
1490,300103,52
1578,300194,52
1253,2842,52
1910,300532,52
714,2278,53
461,2017,53
1664,300281,53
1182,2762,53
1825,300446,53
648,2209,53
3159,688488,53
2049,300675,54
667,2229,54
1555,300170,54
534,2093,54
1338,2937,55
2351,600148,55
3150,688389,55
3184,688588,55
827,2392,55
119,532,55
1479,300092,55
1147,2724,55
2071,300697,55
514,2073,56
2534,600366,56
1572,300188,56
1290,2882,56
326,833,56
2589,600446,57
591,2152,57
886,2452,57
621,2182,57
976,2546,58
417,970,58
2934,600855,58
1038,2609,58
799,2364,58
1188,2769,58
179,610,58
2470,600288,58
1746,300365,58
951,2520,59
1729,300346,59
2865,600774,59
304,803,59
1718,300335,60
1648,300265,60
3109,688222,60
830,2395,60
1722,300339,60
1529,300143,60
2733,600620,60
2039,300665,60
2921,600838,60
500,2057,61
1424,300035,61
762,2326,61
3090,688166,61
1406,300016,61
173,603,61
26,36,62
1614,300231,63
1830,300451,63
1646,300263,63
558,2117,63
839,2404,63
1256,2846,63
1201,2782,64
1638,300255,64
1612,300229,64
1610,300227,64
422,976,64
1916,300538,64
1315,2909,64
1087,2658,65
150,570,65
2924,600843,65
250,715,65
1712,300329,65
2118,300749,65
966,2536,66
488,2045,66
402,952,66
2714,600599,66
867,2432,66
2092,300720,66
1757,300377,66
1987,300611,67
1523,300137,67
1247,2835,67
1859,300480,67
